uuid,question,answer,category,link,text
A02F3D57-15FD-D8AB-ECEE-7AC7542E0B19,могу ли я участвовать в программах обмена,"Да, студенты магистратуры имеют возможность участвовать в программах обмена",вышка,,"могу ли я участвовать в программах обмена Да, студенты магистратуры имеют возможность участвовать в программах обмена"
30E8EEAA-1D67-2902-CD03-4A3A457F98DA,можно ли стать ассистентом,"Да, есть возможность стать оплачиваемым учебным ассистентом или преподавателем на магистратуре",вышка,,"можно ли стать ассистентом Да, есть возможность стать оплачиваемым учебным ассистентом или преподавателем на магистратуре"
C2332C0C-86D2-24D0-1D1A-2817CBA550BA,сколько программ магистратуры на английском языке,В Вышке предлагается 32 программы магистратуры на английском языке,вышка,,сколько программ магистратуры на английском языке В Вышке предлагается 32 программы магистратуры на английском языке
F959BE96-CCC1-627D-8C8E-20BE5324E3FB,расскажи про магистратуру в вышке,"Магистратура в Вышке предлагает 39 направлений подготовки с общим числом 180 магистерских программ. Студенты имеют возможность сменить направление обучения, участвовать в международных стажировках и обменах, принимать участие в программах двойных дипломов, становиться учебным ассистентом или преподавателем, а также участвовать в исследовательской и проектной работе в лабораториях и научных институтах ВШЭ.",вышка,,"расскажи про магистратуру в вышке Магистратура в Вышке предлагает 39 направлений подготовки с общим числом 180 магистерских программ. Студенты имеют возможность сменить направление обучения, участвовать в международных стажировках и обменах, принимать участие в программах двойных дипломов, становиться учебным ассистентом или преподавателем, а также участвовать в исследовательской и проектной работе в лабораториях и научных институтах ВШЭ."
60763DF2-CF2B-4E33-DCC2-107F0FBB5D3B,расскажи про миэм,"Московский институт электроники и математики (МИЭМ НИУ ВШЭ) — это одно из крупнейших подразделений Национального исследовательского университета «Высшая школа экономики». Он был основан в 1962 году и является инженерным крылом Вышки. В институте готовят специалистов, бакалавров и магистров в различных областях, таких как электроника, информационные технологии, телекоммуникации, вычислительная техника, прикладная математика, кибернетика и дизайн.",миэм,https://miem.hse.ru/miem_today,"расскажи про миэм Московский институт электроники и математики (МИЭМ НИУ ВШЭ) — это одно из крупнейших подразделений Национального исследовательского университета «Высшая школа экономики». Он был основан в 1962 году и является инженерным крылом Вышки. В институте готовят специалистов, бакалавров и магистров в различных областях, таких как электроника, информационные технологии, телекоммуникации, вычислительная техника, прикладная математика, кибернетика и дизайн."
63F661BD-600C-9B86-D300-4F57F4572381,миэм,"МИЭМ НИУ ВШЭ (Московский институт электроники и математики Национального исследовательского университета «Высшая школа экономики») — институт, предоставляющий образование в области электроники, информационных технологий, телекоммуникаций, вычислительной техники, прикладной математики, кибернетики и дизайна. Он является частью НИУ ВШЭ и имеет свои учебные программы и научные направления.",миэм,https://miem.hse.ru/miem_today,"миэм МИЭМ НИУ ВШЭ (Московский институт электроники и математики Национального исследовательского университета «Высшая школа экономики») — институт, предоставляющий образование в области электроники, информационных технологий, телекоммуникаций, вычислительной техники, прикладной математики, кибернетики и дизайна. Он является частью НИУ ВШЭ и имеет свои учебные программы и научные направления."
4A43B769-E24B-EA17-4885-B9FD8D4197C6,что такое миэм ниу вшэ,"МИЭМ НИУ ВШЭ (Московский институт электроники и математики Национального исследовательского университета «Высшая школа экономики») — это институт в составе НИУ ВШЭ, предоставляющий образование и проводящий научные исследования в области электроники, информационных технологий, телекоммуникаций, вычислительной техники, прикладной математики, кибернетики и дизайна.",миэм,https://miem.hse.ru/miem_today,"что такое миэм ниу вшэ МИЭМ НИУ ВШЭ (Московский институт электроники и математики Национального исследовательского университета «Высшая школа экономики») — это институт в составе НИУ ВШЭ, предоставляющий образование и проводящий научные исследования в области электроники, информационных технологий, телекоммуникаций, вычислительной техники, прикладной математики, кибернетики и дизайна."
276217D5-53D0-03AE-5B37-06BCBFBEE63E,как попасть в миэм ниу вшэ,"Для поступления в МИЭМ НИУ ВШЭ необходимо ознакомиться с требованиями к поступлению, представленными на официальном сайте института. Обычно процедура включает в себя подачу заявления, сдачу вступительных экзаменов и выполнение других необходимых шагов, указанных в приемной комиссии.",миэм,https://miem.hse.ru/miem_today,"как попасть в миэм ниу вшэ Для поступления в МИЭМ НИУ ВШЭ необходимо ознакомиться с требованиями к поступлению, представленными на официальном сайте института. Обычно процедура включает в себя подачу заявления, сдачу вступительных экзаменов и выполнение других необходимых шагов, указанных в приемной комиссии."
D9EF4D1F-80E5-7FF7-49AD-4A38DD430CA9,как попасть в миэм,"Для поступления в МИЭМ НИУ ВШЭ следует ознакомиться с условиями приема, опубликованными на официальном сайте института. Обычно требуется сдача вступительных экзаменов и выполнение других формальных процедур, указанных приемной комиссией.",миэм,https://miem.hse.ru/miem_today,"как попасть в миэм Для поступления в МИЭМ НИУ ВШЭ следует ознакомиться с условиями приема, опубликованными на официальном сайте института. Обычно требуется сдача вступительных экзаменов и выполнение других формальных процедур, указанных приемной комиссией."
C2A686CF-E437-20E7-F5B8-01A5D802AA3B,адрес миэм,"Адрес Московского института электроники и математики (МИЭМ НИУ ВШЭ): ул. Таллинская, д. 34.",миэм,https://miem.hse.ru/miem_today,"адрес миэм Адрес Московского института электроники и математики (МИЭМ НИУ ВШЭ): ул. Таллинская, д. 34."
33F9C0F8-964E-CEC1-FF71-6ABA803C8036,как добраться до миэм,"Для того чтобы добраться до МИЭМ НИУ ВШЭ, можно воспользоваться метро: институт находится всего в 5 минутах пешком от станции метро «Строгино».",миэм,https://miem.hse.ru/miem_today,"как добраться до миэм Для того чтобы добраться до МИЭМ НИУ ВШЭ, можно воспользоваться метро: институт находится всего в 5 минутах пешком от станции метро «Строгино»."
7EBB6322-0F31-4D92-FE10-F41518F38ED0,какие программы есть в миэм,"МИЭМ НИУ ВШЭ предлагает образовательные программы в области электроники, информационных технологий, телекоммуникаций, вычислительной техники, прикладной математики, кибернетики и дизайна. Среди программ могут быть бакалаврские и магистерские направления.",миэм,https://miem.hse.ru/miem_today,"какие программы есть в миэм МИЭМ НИУ ВШЭ предлагает образовательные программы в области электроники, информационных технологий, телекоммуникаций, вычислительной техники, прикладной математики, кибернетики и дизайна. Среди программ могут быть бакалаврские и магистерские направления."
17640DBA-EF6D-E095-285B-645226FD8F6E,бакалавриат в миэм,"Московский институт электроники и математики (МИЭМ НИУ ВШЭ) предлагает следующие программы бакалавриата: Инфокоммуникационные технологии и системы связи, Информатика и вычислительная техника, Информационная безопасность, Прикладная математика.",миэм,https://miem.hse.ru/miem_today,"бакалавриат в миэм Московский институт электроники и математики (МИЭМ НИУ ВШЭ) предлагает следующие программы бакалавриата: Инфокоммуникационные технологии и системы связи, Информатика и вычислительная техника, Информационная безопасность, Прикладная математика."
F06358DB-4180-4B90-B2EB-BA5FF16318F1,магистратура в миэм,"Московский институт электроники и математики (МИЭМ НИУ ВШЭ) предоставляет разнообразные программы магистратуры, включая: Инжиниринг в электронике, Интернет вещей и киберфизические системы, Компьютерные системы и сети, Математические методы моделирования и компьютерные технологии, Материалы. Приборы. Нанотехнологии, Системы управления и обработки информации в инженерии, Суперкомпьютерное моделирование в науке и инженерии, Информационная безопасность киберфизических систем, Системный анализ и математические технологии, Наноэлектроника и квантовые технологии.",миэм,https://miem.hse.ru/miem_today,"магистратура в миэм Московский институт электроники и математики (МИЭМ НИУ ВШЭ) предоставляет разнообразные программы магистратуры, включая: Инжиниринг в электронике, Интернет вещей и киберфизические системы, Компьютерные системы и сети, Математические методы моделирования и компьютерные технологии, Материалы. Приборы. Нанотехнологии, Системы управления и обработки информации в инженерии, Суперкомпьютерное моделирование в науке и инженерии, Информационная безопасность киберфизических систем, Системный анализ и математические технологии, Наноэлектроника и квантовые технологии."
AE45581A-C191-7412-8984-295B9D92233A,какие программы бакалавриата есть в миэм,"МИЭМ НИУ ВШЭ предлагает следующие программы бакалавриата: Инфокоммуникационные технологии и системы связи, Информатика и вычислительная техника, Информационная безопасность, Прикладная математика.",миэм,https://miem.hse.ru/miem_today,"какие программы бакалавриата есть в миэм МИЭМ НИУ ВШЭ предлагает следующие программы бакалавриата: Инфокоммуникационные технологии и системы связи, Информатика и вычислительная техника, Информационная безопасность, Прикладная математика."
BEE98AB8-0527-AD0C-795E-7A2F7E4BB83E,какие программы магистратуры есть в миэм,"МИЭМ НИУ ВШЭ предоставляет разнообразные программы магистратуры, включая: Инжиниринг в электронике, Интернет вещей и киберфизические системы, Компьютерные системы и сети, Математические методы моделирования и компьютерные технологии, Материалы. Приборы. Нанотехнологии, Системы управления и обработки информации в инженерии, Суперкомпьютерное моделирование в науке и инженерии, Информационная безопасность киберфизических систем, Системный анализ и математические технологии, Наноэлектроника и квантовые технологии.",миэм,https://miem.hse.ru/miem_today,"какие программы магистратуры есть в миэм МИЭМ НИУ ВШЭ предоставляет разнообразные программы магистратуры, включая: Инжиниринг в электронике, Интернет вещей и киберфизические системы, Компьютерные системы и сети, Математические методы моделирования и компьютерные технологии, Материалы. Приборы. Нанотехнологии, Системы управления и обработки информации в инженерии, Суперкомпьютерное моделирование в науке и инженерии, Информационная безопасность киберфизических систем, Системный анализ и математические технологии, Наноэлектроника и квантовые технологии."
A2ECCC69-79B5-CE5A-DBC8-CEB6FB4A66FF,Когда было построено новое здание МИЭМ НИУ ВШЭ?,2014 году.,миэм,https://miem.hse.ru/miem_today,Когда было построено новое здание МИЭМ НИУ ВШЭ? 2014 году.
2B2F9A59-6688-3B7D-E397-78F3CDF3A6DD,Где находится корпус МИЭМ НИУ ВШЭ?,"В районе Строгино, далеко от центра города.",миэм,https://miem.hse.ru/miem_today,"Где находится корпус МИЭМ НИУ ВШЭ? В районе Строгино, далеко от центра города."
014EB063-696C-63C2-D241-2FB5BA4F9E24,"Какая инфраструктура развита в районе, где расположен корпус?","В районе Строгино развита инфраструктура, есть зеленый парк и Москва-река, а также спортивные секции по водным видам спорта.",миэм,https://miem.hse.ru/miem_today,"Какая инфраструктура развита в районе, где расположен корпус? В районе Строгино развита инфраструктура, есть зеленый парк и Москва-река, а также спортивные секции по водным видам спорта."
FDE39A0C-A77C-EA64-5884-6535C4B47F7A,Сколько автомобилей вмещает собственная стоянка МИЭМ?,Примерно на 100 автомобилей.,миэм,https://miem.hse.ru/miem_today,Сколько автомобилей вмещает собственная стоянка МИЭМ? Примерно на 100 автомобилей.
163FADBF-D58C-C0D2-ABAA-C59E2F0548FA,Кто пользуется стоянкой университета?,"Не только преподаватели и сотрудники, но и студенты, у которых есть личный транспорт.",миэм,https://miem.hse.ru/miem_today,"Кто пользуется стоянкой университета? Не только преподаватели и сотрудники, но и студенты, у которых есть личный транспорт."
90495FA9-F1EF-6928-5DA5-EA6B0F687C8D,На сколько мест рассчитана столовая в корпусе?,На 200 мест.,миэм,https://miem.hse.ru/miem_today,На сколько мест рассчитана столовая в корпусе? На 200 мест.
8E5DADFF-F8F3-AFBC-6976-FD2DA210476D,До какого времени работает столовая?,До 20:00.,миэм,https://miem.hse.ru/miem_today,До какого времени работает столовая? До 20:00.
D5410549-3709-4B20-861A-6F0B8B128364,Какие виды оплаты принимаются в столовой?,"Оплата принимается и наличными, и по картам.",миэм,https://miem.hse.ru/miem_today,"Какие виды оплаты принимаются в столовой? Оплата принимается и наличными, и по картам."
C3005A1B-7923-7546-B5EE-3A03D7956DFD,Сколько стоят комплексные обеды в столовой?,Комплексные обеды стоят 185 рублей.,миэм,https://miem.hse.ru/miem_today,Сколько стоят комплексные обеды в столовой? Комплексные обеды стоят 185 рублей.
153C820B-EEE1-9D0B-485F-1A75A26E3F24,"Сколько кафетериев находится в здании, и на сколько мест они рассчитаны?",В здании есть два кафетерия на 100 и 50 мест соответственно.,миэм,https://miem.hse.ru/miem_today,"Сколько кафетериев находится в здании, и на сколько мест они рассчитаны? В здании есть два кафетерия на 100 и 50 мест соответственно."
03FCEB3F-1E76-23AD-046B-9104FCACB86E,"Где ваще стоит этот корпус МИЭМ? Не в центре, что ли?","Да, он в Строгино, так что не в самом центре. Но там приятно, есть парк, река, даже спортивные секции по водным видам спорта.",миэм,https://miem.hse.ru/miem_today,"Где ваще стоит этот корпус МИЭМ? Не в центре, что ли? Да, он в Строгино, так что не в самом центре. Но там приятно, есть парк, река, даже спортивные секции по водным видам спорта."
FEDFC45A-DA39-B203-5E43-469DA6DC34F2,"На стоянке универа, сколько мест под машину откопали?","Там примерно на 100 автомобилей. И не только преподаватели, но и студенты могут свои автомобили туда припарковать.",миэм,https://miem.hse.ru/miem_today,"На стоянке универа, сколько мест под машину откопали? Там примерно на 100 автомобилей. И не только преподаватели, но и студенты могут свои автомобили туда припарковать."
061559E6-FE5E-2A11-656B-BB37A002FF04,"Где можно пообедать в миэме? В столовой, что ли?","Да, в корпусе есть столовая на 200 мест. Работает до 20:00, и комплексные обеды всего за 185 рублей. Можно и наличкой, и картой расплачиваться.",миэм,https://miem.hse.ru/miem_today,"Где можно пообедать в миэме? В столовой, что ли? Да, в корпусе есть столовая на 200 мест. Работает до 20:00, и комплексные обеды всего за 185 рублей. Можно и наличкой, и картой расплачиваться."
D2AA4AB5-DF17-A881-0D35-B9761FABF597,Есть ещё где-нибудь поесть? Кафешки какие-то?,"Ну, кроме столовой, есть два кафетерия: один на 100 мест, другой на 50. Цены там вполне адекватные.",миэм,https://miem.hse.ru/miem_today,"Есть ещё где-нибудь поесть? Кафешки какие-то? Ну, кроме столовой, есть два кафетерия: один на 100 мест, другой на 50. Цены там вполне адекватные."
68F9D5FE-A202-EB4F-5FED-876D4F9BBB47,"Сколько там в универе аудиторий, и сколько человек влазит в потоковые?",В МИЭМе 52 аудитории. Потоковые рассчитаны на 200 и 100 человек.,миэм,https://miem.hse.ru/miem_today,"Сколько там в универе аудиторий, и сколько человек влазит в потоковые? В МИЭМе 52 аудитории. Потоковые рассчитаны на 200 и 100 человек."
7FD247B6-1DB8-0E28-7D1F-77EAF594ED99,Какое оборудование в аудиториях? Есть что-то крутое?,"Все аудитории оборудованы проекторами, учебными досками и в большинстве случаев — ЖК-экранами.",миэм,https://miem.hse.ru/miem_today,"Какое оборудование в аудиториях? Есть что-то крутое? Все аудитории оборудованы проекторами, учебными досками и в большинстве случаев — ЖК-экранами."
